co,id2_intermedio,id3_intermedio
0200100001X,4299,9026
0200100002X,4300,9027
0200100003X,4301,9028
0200100004X,4302,9029
0200100005X,4303,9030
0200100006X,4304,9031
0200100007X,4305,9032
0200100008X,4306,9033
0200100009X,4307,9034
0200100010X,4308,9035
0200100011X,4309,9036
0200100012X,4310,9037
0200100013X,4311,9038
0200100014X,4312,9039
0200100015X,4313,9040
0200100016X,4314,9041
0200100017X,4315,9042
0200100018X,4316,9043
0200100019X,4317,9044
0200100020X,4318,9045
0200100021X,4319,9046
0200100022X,4320,9047
0200100023X,4321,9048
0200100024X,4322,9049
0200100025X,4323,9050
0200100026X,4324,9051
0200100027X,4325,9052
0200100028X,4326,9053
0200100029X,4327,9054
0200100030X,4328,9055
0200100031X,4329,9056
0200100032X,4330,9057
0200100033X,4331,9058
0200100034X,4332,9059
0200100035X,4333,9060
0200100036X,4334,9061
0200100037X,4335,9062
0200100038X,4336,9063
0200100039X,4337,9064
0200100040X,4338,9065
0200100041X,4339,9066
0200100042X,4340,9067
0200100043X,4341,9068
0200100044X,4342,9069
0200100045X,4343,9070
0200100046X,4344,9071
0200109001E,4345,9072
0200200001X,4736,9073
0200200002X,4737,9074
0200200003X,4738,9075
0200200004X,4739,9076
0200200005X,4740,9077
0200200006X,4741,9078
0200200007X,4742,9079
0200200008X,4743,9080
0200200009X,4744,9081
0200200010X,4745,9082
0200200011X,4746,9083
0200200012X,4747,9084
0200200013X,4748,9085
0200200014X,4749,9086
0200200015X,4750,9087
0200200016X,4751,9088
0200200017X,4752,9089
0200200018X,4753,9090
0200200019X,4754,9091
0200200020X,4755,9092
0200200021X,4756,9093
0200200022X,4757,9094
0200200023X,4758,9095
0200200024X,4759,9096
0200200025X,4760,9097
0200200026X,4761,9098
0200200027X,4762,9099
0200200028X,4763,9100
0200200029X,4764,9101
0200200030X,4765,9102
0200209001E,4766,9103
0200300001X,4346,9104
0200300002X,4347,9105
0200300003X,4348,9106
0200300004X,4349,9107
0200300005X,4350,9108
0200300006X,4351,9109
0200300007X,4352,9110
0200300008X,4353,9111
0200300009X,4354,9112
0200300010X,4355,9113
0200300011X,4356,9114
0200300012X,4357,9115
0200300013X,4358,9116
0200300014X,4359,9117
0200300015X,4360,9118
0200300016X,4361,9119
0200300017X,4362,9120
0200300018X,4363,9121
0200300019X,4364,9122
0200300020X,4365,9123
0200300021X,4366,9124
0200300022X,4367,9125
0200300023X,4368,9126
0200300024X,4369,9127
0200300025X,4370,9128
0200300026X,4371,9129
0200300027X,4372,9130
0200300028X,4373,9131
0200300029X,4374,9132
0200300030X,4375,9133
0200300031X,4376,9134
0200300032X,4377,9135
0200300033X,4378,9136
0200300034X,4379,9137
0200300035X,4380,9138
0200300036X,4381,9139
0200300037X,4382,9140
0200300038X,4383,9141
0200300039X,4384,9142
0200300040X,4385,9143
0200300041X,4386,9144
0200300042X,4387,9145
0200300043X,4388,9146
0200300044X,4389,9147
0200300045X,4390,9148
0200300046X,4391,9149
0200300047X,4392,9150
0200300048X,4393,9151
0200300049X,4394,9152
0200300050X,4395,9153
0200300051X,4396,9154
0200300052X,4397,9155
0200300053X,4398,9156
0200300054X,4399,9157
0200300055X,4400,9158
0200300056X,4401,9159
0200300057X,4402,9160
0200300058X,4403,9161
0200300059X,4404,9162
0200300060X,4405,9163
0200300061X,4406,9164
0200300062X,4407,9165
0200300063X,4408,9166
0200300064X,4409,9167
0200300065X,4410,9168
0200300066X,4411,9169
0200300067X,4412,9170
0200300068X,4413,9171
0200300069X,4414,9172
0200300070X,4415,9173
0200300071X,4416,9174
0200300072X,4417,9175
0200300073X,4418,9176
0200300074X,4419,9177
0200300075X,4420,9178
0200300076X,4421,9179
0200300077X,4422,9180
0200300078X,4423,9181
0200300079X,4424,9182
0200300080X,4425,9183
0200300081X,4426,9184
0200300082X,4427,9185
0200300083X,4428,9186
0200300084X,4429,9187
0200300085X,4430,9188
0200300086X,4431,9189
0200300087X,4432,9190
0200300088X,4433,9191
0200300089X,4434,9192
0200300090X,4435,9193
0200300091X,4436,9194
0200300092X,4437,9195
0200300093X,4438,9196
0200300094X,4439,9197
0200300095X,4440,9198
0200300096X,4441,9199
0200300097X,4442,9200
0200300098X,4443,9201
0200300099X,4444,9202
0200300100X,4445,9203
0200300101X,4446,9204
0200300102X,4447,9205
0200300103X,4448,9206
0200300104X,4449,9207
0200300105X,4450,9208
0200300106X,4451,9209
0200300107X,4452,9210
0200300108X,4453,9211
0200300109X,4454,9212
0200300110X,4455,9213
0200300111X,4456,9214
0200300112X,4457,9215
0200300113X,4458,9216
0200300114X,4459,9217
0200300115X,4460,9218
0200300116X,4461,9219
0200300117X,4462,9220
0200300118X,4463,9221
0200300119X,4464,9222
0200300120X,4465,9223
0200300121X,4466,9224
0200300122X,4467,9225
0200300123X,4468,9226
0200300124X,4469,9227
0200300125X,4470,9228
0200300126X,4471,9229
0200300127X,4472,9230
0200300128X,4473,9231
0200300129X,4474,9232
0200300130X,4475,9233
0200300131X,4476,9234
0200300132X,4477,9235
0200300133X,4478,9236
0200300134X,4479,9237
0200300135X,4480,9238
0200300136X,4481,9239
0200300137X,4482,9240
0200300138X,4483,9241
0200300139X,4484,9242
0200300140X,4485,9243
0200300141X,4486,9244
0200300142X,4487,9245
0200300143X,4488,9246
0200300144X,4489,9247
0200300145X,4490,9248
0200300146X,4491,9249
0200300147X,4492,9250
0200300148X,4493,9251
0200300149X,4494,9252
0200300150X,4495,9253
0200300151X,4496,9254
0200300152X,4497,9255
0200300153X,4498,9256
0200300154X,4499,9257
0200300155X,4500,9258
0200300156X,4501,9259
0200300157X,4502,9260
0200300158X,4503,9261
0200300159X,4504,9262
0200300160X,4505,9263
0200300161X,4506,9264
0200300162X,4507,9265
0200300163X,4508,9266
0200300164X,4509,9267
0200300165X,4510,9268
0200300166X,4511,9269
0200300167X,4512,9270
0200300168X,4513,9271
0200300169X,4514,9272
0200300170X,4515,9273
